Datetime,Close,High,Low,Open,Volume
03-01-2000,3790.550048828125,3836.860107421875,3643.25,3755.739990234375,1510070000
04-01-2000,3546.199951171875,3766.570068359375,3542.72998046875,3766.570068359375,1511840000
05-01-2000,3507.31005859375,3576.169922,3371.75,3543.1298828125,1735670000
06-01-2000,3340.81005859375,3513.550048828125,3334.02001953125,3488.31005859375,1598320000
07-01-2000,3529.60009765625,3529.75,3314.75,3337.260009765625,1634930000
10-01-2000,3717.409912109375,3756.169922,3558.2099609375,3558.2099609375,1691710000
11-01-2000,3544.35009765625,3717.169922,3517.7900390625,3715.219970703125,1694460000
12-01-2000,3478.139892578125,3572.6201171875,3447.89990234375,3548.77001953125,1525900000
13-01-2000,3612.080078,3612.429931640625,3494.389892578125,3495.830078,1476970000
14-01-2000,3704.739990234375,3744.889892578125,3653.300048828125,3653.300048828125,1656630000
18-01-2000,3757.780029296875,3779.56005859375,3665.8701171875,3704.739990234375,1585230000
19-01-2000,3790.889892578125,3803.719970703125,3711.9599609375,3741.449951171875,1652210000
20-01-2000,3841.739990234375,3877.429931640625,3782.429931640625,3798.840087890625,1851300000
21-01-2000,3849.9599609375,3891.81005859375,3806.580078,3841.739990234375,1923680000
24-01-2000,3660.9599609375,3905.10009765625,3660.860107421875,3888.330078,1989050000
25-01-2000,3759.110107421875,3759.330078,3591.340087890625,3667.02001953125,1743630000
26-01-2000,3621.2099609375,3762.68994140625,3621.10009765625,3762.68994140625,1717000000
27-01-2000,3593.14990234375,3701.300048828125,3512.070068359375,3628.8798828125,1798460000
28-01-2000,3446.1298828125,3618.080078,3408.030029296875,3595.889892578125,1616370000
31-01-2000,3570.050048828125,3570.590087890625,3349.06005859375,3438.090087890625,1507630000
01-02-2000,3701.780029296875,3703.590087890625,3544.929931640625,3580.2900390625,1398240000
02-02-2000,3724.4599609375,3785.360107421875,3693.949951171875,3700.199951171875,1527880000
03-02-2000,3851.159912109375,3857.340087890625,3704.22998046875,3726.1298828125,1722330000
04-02-2000,3874.3701171875,3929.81005859375,3856.830078,3858.60009765625,1751450000
07-02-2000,3933.340087890625,3933.75,3858.889892578125,3873.429931640625,1625540000
08-02-2000,4062.77001953125,4063.7900390625,3932.239990234375,3932.239990234375,1971180000
09-02-2000,3968.4599609375,4087.840087890625,3966.330078,4061.739990234375,1775590000
10-02-2000,4090,4090.070068359375,3956.89990234375,3974.830078,1813590000
11-02-2000,3968.889892578125,4090.260009765625,3933.780029296875,4090.260009765625,1738590000
14-02-2000,3986.1298828125,4005.590087890625,3918.8701171875,3969.949951171875,1600850000
15-02-2000,3997.030029296875,4024.1298828125,3848.3701171875,3983.85009765625,1708930000
16-02-2000,3997.969970703125,4063.580078,3982.550048828125,3997.030029296875,1782130000
17-02-2000,4125.3798828125,4127.35009765625,3993.570068359375,4012.2900390625,2008440000
18-02-2000,3965.75,4135.60009765625,3959.830078,4130.5498046875,1898410000
22-02-2000,3969.1298828125,4001.070068359375,3856.02001953125,3970.530029296875,1772290000
23-02-2000,4170.089844,4198.160156,3966,3966,1892800000
24-02-2000,4253.0498046875,4253.75,4099.39013671875,4169.660156,1944050000
25-02-2000,4178.580078,4297.4599609375,4169.339844,4254.56005859375,1825500000
28-02-2000,4162.1298828125,4224.9501953125,4024.080078,4178.580078,1798070000
29-02-2000,4266.93994140625,4269.759766,4174.75,4174.75,2088840000
01-03-2000,4309.009766,4346.410156,4269.660156,4275.72021484375,2232340000
02-03-2000,4234.259766,4337.64990234375,4197.97998046875,4311.97021484375,2137080000
03-03-2000,4442.8701171875,4442.8701171875,4257.52978515625,4257.52978515625,2136530000
06-03-2000,4457.18017578125,4528.68994140625,4436.60009765625,4448.47998046875,2015580000
07-03-2000,4390.830078,4560.9599609375,4355.60986328125,4489.490234,2156410000
08-03-2000,4445.68017578125,4470.27978515625,4266.8701171875,4409.97998046875,2020130000
09-03-2000,4586.259766,4587.5498046875,4379.60009765625,4446.47998046875,2006810000
10-03-2000,4587.160156,4659.72021484375,4549.06982421875,4586.259766,1992170000
13-03-2000,4426.7998046875,4585.160156,4387.740234,4585.160156,1736270000
14-03-2000,4226.990234,4537.990234,4226.7900390625,4448.6298828125,1977820000
15-03-2000,4130.009766,4341.5400390625,4094.0400390625,4250.740234,1937800000
16-03-2000,4353.330078,4353.589844,4049.97998046875,4141.22998046875,2041510000
17-03-2000,4440.4501953125,4441,4326.759766,4349.259766,1691530000
20-03-2000,4261.14990234375,4460.3701171875,4260.919922,4443.35009765625,1539860000
21-03-2000,4449.330078,4450.410156,4155.339844,4259.580078,1753310000
22-03-2000,4596.81005859375,4639.1201171875,4449.22021484375,4449.22021484375,1769510000
23-03-2000,4660.6201171875,4704.2099609375,4547,4594.3701171875,1714160000
24-03-2000,4691.60986328125,4816.35009765625,4608.919922,4659.759766,1688970000
27-03-2000,4704.72998046875,4781.18994140625,4687.60009765625,4687.60009765625,1380380000
28-03-2000,4583.39013671875,4714.35009765625,4582.4501953125,4705.75,1490090000
29-03-2000,4413.919922,4615.089844,4408.60009765625,4583.81005859375,1738270000
30-03-2000,4250.18994140625,4491.080078,4151.1201171875,4376.410156,1925860000
31-03-2000,4397.839844,4424.43017578125,4171.089844,4268.64013671875,2118100000
